school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
Singapore Chinese Girls' Primary School,78,59,71,78,75,78,75,-,21,16,-,21,16,-,21,16,-,21,16,-,21,20,-,43,-,-,-,43,-,40,-,43,-,57,-,43,-,58,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",43,-,58,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
South View Primary School,89,87,102,89,105,89,105,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,34,-,20,34,-,20,34,-,20,34,-,20,34,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,109,-,40,-,123,-,40,-,128,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,128,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Springdale Primary School,118,51,56,118,57,118,57,-,40,0,-,40,0,-,40,0,-,40,0,-,40,0,-,121,-,-,-,121,-,49,-,121,-,62,-,121,-,68,-,121,-,68,-
St. Andrew's Junior School,125,39,48,125,49,125,49,-,45,18,-,45,18,-,45,18,-,45,18,-,45,36,-,100,-,-,-,101,-,63,-,101,-,83,-,103,-,113,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",103,-,113,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
St. Anthony's Canossian Primary School,124,6,9,124,11,124,11,-,58,6,-,58,6,-,58,6,-,58,6,-,58,8,-,165,-,-,-,165,-,25,-,165,-,32,-,165,-,36,-,165,-,36,-
St. Anthony's Primary School,110,36,44,110,44,110,44,-,42,5,-,42,5,-,42,5,-,42,5,-,42,24,-,102,-,-,-,102,-,78,-,102,-,105,-,102,-,114,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",102,-,114,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
St. Gabriel's Primary School,64,6,12,64,13,64,13,-,37,13,-,37,13,-,37,13,-,37,13,-,37,34,-,77,-,-,-,77,-,28,-,77,-,37,-,77,-,52,-,77,-,52,-
St. Hilda's Primary School,103,89,106,103,113,103,113,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,24,-,20,24,-,20,24,-,20,24,-,20,36,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,93,-,40,-,113,-,40,-,136,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,136,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
St. Joseph's Institution Junior,127,47,55,127,56,127,56,-,44,36,-,44,36,-,44,36,-,44,36,-,44,85,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",88,-,-,-,88,-,55,-,88,-,72,-,88,-,98,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",88,-,98,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
St. Margaret's School (Primary),106,20,26,106,28,106,28,-,46,6,-,46,6,-,46,6,-,46,6,-,46,17,-,121,-,-,-,121,-,50,-,121,-,60,-,122,-,78,-,122,-,78,-
