school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
Kong Hwa School,100,61,73,100,74,100,74,-,29,7,-,29,7,-,29,7,-,29,7,-,29,57,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",57,-,-,-,57,-,52,-,57,-,71,-,57,-,84,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",57,-,84,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Kranji Primary School,25,16,23,25,25,25,25,-,20,0,-,20,0,-,20,0,-,20,0,-,20,0,-,60,-,-,-,60,-,18,-,60,-,21,-,60,-,21,-,60,-,21,-
Kuo Chuan Presbyterian Primary School,92,43,55,92,57,92,57,-,32,34,-,32,34,-,32,34,-,32,34,-,32,36,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",63,-,-,-,64,-,59,-,65,-,65,-,67,-,76,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",67,-,76,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Lakeside Primary School,98,31,41,98,42,98,42,-,39,0,-,39,0,-,39,0,-,39,0,-,39,0,-,116,-,-,-,118,-,61,-,118,-,92,-,119,-,112,-,119,-,112,-
Lianhua Primary School,207,8,17,207,17,207,17,-,83,0,-,83,0,-,83,0,-,83,0,-,84,0,-,251,-,-,-,252,-,19,-,252,-,31,-,252,-,36,-,252,-,36,-
Maha Bodhi School,129,79,97,129,99,129,99,-,30,32,-,30,32,-,30,32,-,30,32,-,30,42,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",60,-,-,-,62,-,52,-,62,-,75,-,63,-,82,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",63,-,82,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Maris Stella High School (Primary Section),140,93,116,140,122,140,122,-,26,26,-,26,26,-,26,26,-,26,26,-,26,30,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",52,-,-,-,53,-,46,-,54,-,67,-,55,-,77,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",55,-,77,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Marsiling Primary School,98,12,15,98,15,98,15,-,48,0,-,48,0,-,48,0,-,48,0,-,48,0,-,143,-,-,-,143,-,41,-,143,-,57,-,143,-,74,-,143,-,74,-
Marymount Convent School,142,7,8,143,9,143,9,-,65,3,-,65,3,-,65,3,-,65,3,-,65,7,-,187,-,-,-,187,-,42,-,187,-,47,-,188,-,56,-,188,-,56,-
Mayflower Primary School,83,15,21,83,23,83,23,-,40,0,-,40,0,-,40,0,-,40,0,-,40,0,-,120,-,-,-,120,-,20,-,120,-,25,-,121,-,30,-,121,-,30,-
Mee Toh School,132,19,27,132,28,132,28,-,55,39,-,55,39,-,55,39,-,55,39,-,55,49,-,116,-,-,-,116,-,101,-,116,-,123,-,116,-,145,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",116,-,145,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Meridian Primary School,121,19,24,121,26,121,26,-,52,0,-,52,0,-,52,0,-,52,0,-,52,0,-,156,-,-,-,156,-,14,-,157,-,18,-,157,-,22,-,157,-,22,-
Methodist Girls' School (Primary),86,64,78,86,83,86,83,-,21,28,-,21,28,-,21,28,-,21,28,-,21,38,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",42,-,-,-,42,-,45,-,42,-,56,-,43,-,63,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",43,-,63,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Montfort Junior School,68,6,6,68,7,68,7,-,40,4,-,40,4,-,40,4,-,40,4,-,40,8,-,113,-,-,-,113,-,16,-,113,-,18,-,113,-,25,-,113,-,25,-
Nan Chiau Primary School,109,18,35,109,38,109,38,-,44,102,-,44,102,-,44,102,-,44,102,-,45,123,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",89,-,-,-,89,-,178,-,89,-,226,-,89,-,264,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",89,-,264,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Nan Hua Primary School,64,70,89,65,96,65,96,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,25,-,20,25,-,20,25,-,20,25,-,20,34,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,111,-,40,-,161,-,40,-,192,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,192,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Nanyang Primary School,148,119,163,149,171,149,171,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,34,-,20,34,-,20,34,-,20,34,-,20,43,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",41,-,-,-,43,-,62,-,43,-,66,-,44,-,76,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",44,-,76,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Naval Base Primary School,66,80,95,66,100,66,100,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,2,-,20,2,-,20,2,-,20,2,-,20,2,-,58,-,-,-,58,-,68,-,58,-,80,-,58,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",58,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
New Town Primary School,113,6,9,113,9,113,9,-,55,0,-,55,0,-,55,0,-,55,0,-,55,0,-,164,-,-,-,164,-,14,-,164,-,16,-,164,-,19,-,164,-,19,-
Ngee Ann Primary School,94,28,33,94,34,94,34,-,40,1,-,40,1,-,40,1,-,40,1,-,40,2,-,118,-,-,-,120,-,68,-,121,-,89,-,122,-,122,-,122,-,122,-
North Spring Primary School,128,7,10,128,15,128,15,-,58,0,-,58,0,-,58,0,-,58,0,-,58,0,-,173,-,-,-,173,-,19,-,173,-,32,-,173,-,38,-,173,-,38,-
North View Primary School,87,50,62,87,68,87,68,-,26,0,-,26,0,-,26,0,-,26,0,-,26,0,-,79,-,-,-,79,-,70,-,80,-,85,-,80,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",80,-,95,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
North Vista Primary School,123,23,34,123,35,123,35,-,49,0,-,49,0,-,49,0,-,49,0,-,49,1,-,147,-,-,-,147,-,35,-,148,-,53,-,148,-,55,-,148,-,55,-
Northland Primary School,76,59,71,76,72,76,72,-,21,19,-,21,19,-,21,19,-,21,19,-,21,22,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted. If your application is unsuccessful, you can register again in your next eligible phase.",43,-,-,-,43,-,176,-,44,-,195,-,44,-,200,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",44,-,200,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Northoaks Primary School,85,4,7,85,9,85,9,-,45,0,-,45,0,-,45,0,-,45,0,-,45,0,-,136,-,-,-,137,-,9,-,137,-,14,-,137,-,20,-,137,-,20,-
Northshore Primary School,168,57,64,168,69,168,69,-,53,1,-,53,1,-,53,1,-,53,1,-,53,1,-,158,-,-,-,158,-,49,-,158,-,90,-,159,-,110,-,159,-,110,-
Oasis Primary School,70,56,66,70,68,70,68,-,21,2,-,21,2,-,21,2,-,21,2,-,21,2,-,60,-,-,-,60,-,44,-,60,-,54,-,61,-,63,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",61,-,63,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Opera Estate Primary School,60,13,16,60,18,60,18,-,34,1,-,34,1,-,34,1,-,34,1,-,34,1,-,101,29,-,-,101,29,59,-,101,29,68,-,101,29,74,"All Singapore Citizen children are admitted to the school. Balloting will be conducted for Permanent Resident children residing outside 2km of the school. The school has reached the cap on the intake of Permanent Resident children. Any remaining vacancies in Phase 2C Supplementary will only be for Singapore Citizen children.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",101,29,74,"All Singapore Citizen children are admitted to the school. Balloting will be conducted for Permanent Resident children residing outside 2km of the school. The school has reached the cap on the intake of Permanent Resident children. Any remaining vacancies in Phase 2C Supplementary will only be for Singapore Citizen children.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Palm View Primary School,78,5,6,78,8,78,8,-,43,0,-,43,0,-,43,0,-,43,0,-,43,0,-,130,-,-,-,130,-,49,-,130,-,65,-,130,-,76,-,130,-,76,-
Park View Primary School,56,10,12,56,13,56,13,-,34,1,-,34,1,-,34,1,-,34,1,-,34,2,-,101,27,-,-,101,27,45,-,101,27,54,-,101,27,66,-,101,27,66,-
Pasir Ris Primary School,39,25,32,39,32,39,32,-,22,21,-,22,21,-,22,21,-,22,21,-,23,23,-,47,-,-,-,47,-,64,-,47,-,72,-,47,-,76,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",47,-,76,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Paya Lebar Methodist Girls' School (Primary),146,61,69,146,70,146,70,-,45,29,-,45,29,-,45,29,-,45,29,-,46,35,-,102,-,-,-,102,-,81,-,103,-,101,-,103,-,120,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",103,-,120,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Pei Chun Public School,127,91,107,127,116,127,116,-,24,22,-,24,22,-,24,22,-,24,22,-,24,29,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",49,-,-,-,49,-,66,-,49,-,79,-,52,-,81,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",52,-,81,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Pei Hwa Presbyterian Primary School,62,72,86,62,93,62,93,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,25,-,20,25,-,20,25,-,20,25,-,20,32,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,52,-,40,-,68,-,40,-,75,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,75,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Pei Tong Primary School,160,19,24,160,25,160,25,-,65,0,-,65,0,-,65,0,-,65,0,-,65,0,-,195,-,-,-,195,-,20,-,195,-,27,-,196,-,29,-,196,-,29,-
Peiying Primary School,90,22,27,90,29,90,29,-,40,0,-,40,0,-,40,0,-,40,0,-,40,0,-,121,-,-,-,121,-,29,-,121,-,40,-,121,-,49,-,121,-,49,-
Poi Ching School,85,19,21,85,23,85,23,-,41,24,-,41,24,-,41,24,-,41,24,-,41,45,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",82,-,-,-,82,-,149,-,82,-,191,-,82,-,197,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",82,-,197,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
